Clase,Pieza,Superficie_1,Superficie_2,Tamaño_cavidad_mm,Estado_cavidad,Técnica,Tipo_resina,Índice_contracción_%,Peso_resina_inicial_mg,Peso_sobrante_mg,Margen_cavo_mm,Ajuste_margen
I,1,Oclusal,,2.66,Con tejido remanente,Bulk,Fluida,4.52,109.54,19.67,0.56,Sobreobturado
I,1,Oclusal,,4.03,Con tejido remanente,Bulk,Fluida,3.2,94.65,12.3,1.13,Subobturado
I,1,Oclusal,,1.3,Con tejido remanente,Estratificación,Bulk,4.85,66.1,7.25,0.65,Sobreobturado
I,1,Oclusal,,3.21,Con tejido remanente,Bulk,Con fibra de vidrio,4.42,103.06,19.44,0.67,Sobreobturado
I,1,Oclusal,,1.21,Limpia,Bulk,Bulk,2.78,85.58,11.46,1.63,Sobreobturado
I,1,Oclusal,,3.02,Limpia,Bulk,Con fibra de vidrio,3.25,84.73,16.47,1.19,Sobreobturado
I,1,Oclusal,,3.45,Limpia,Bulk,Fluida,3.75,52.54,8.95,1.07,Subobturado
I,1,Oclusal,,1.77,Con tejido remanente,Bulk,Fluida,1.19,101.69,6.68,1.9,Subobturado
I,1,Oclusal,,3.1,Con tejido remanente,Estratificación,Con fibra de vidrio,2.56,62.84,8.82,1.85,Subobturado
I,1,Oclusal,,3.45,Limpia,Bulk,Bulk,2.67,107.61,19.37,1.25,Subobturado
I,1,Oclusal,,4.86,Con tejido remanente,Estratificación,Con fibra de vidrio,4.39,74.66,8.6,1.23,Equiobturado
I,1,Oclusal,,3.17,Limpia,Bulk,Bulk,1.14,112.11,11.64,1.09,Equiobturado
I,1,Oclusal,,1.09,Limpia,Bulk,Fluida,1.11,52.15,5.09,0.98,Equiobturado
I,1,Oclusal,,4.8,Con tejido remanente,Estratificación,Con fibra de vidrio,2.22,54.01,0.92,0.6,Equiobturado
I,1,Oclusal,,3.61,Con tejido remanente,Bulk,Compuesta,4.44,107.13,12.61,1.58,Subobturado
I,1,Oclusal,,4.84,Con tejido remanente,Estratificación,Bulk,3.86,66.38,1.42,1.5,Sobreobturado
I,1,Oclusal,,1.86,Limpia,Bulk,Bulk,3.94,64.74,6.8,1.34,Sobreobturado
I,1,Oclusal,,4.45,Con tejido remanente,Estratificación,Con fibra de vidrio,2.32,119.21,17.72,0.61,Equiobturado
I,1,Oclusal,,3.8,Con tejido remanente,Estratificación,Bulk,1.58,53.43,0.82,1.37,Equiobturado
I,1,Oclusal,,4.5,Limpia,Estratificación,Con fibra de vidrio,4.96,65.77,0.36,1.62,Equiobturado
