Clase,Pieza,Superficie_1,Superficie_2,Tamaño_cavidad_mm,Estado_cavidad,Técnica,Tipo_resina,Índice_contracción_%,Peso_resina_inicial_mg,Peso_sobrante_mg,Margen_cavo_mm,Ajuste_margen
II,1,Mesial,,2.58,Limpia,Bulk,Fluida,4.46,76.89,9.62,1.97,Subobturado
II,1,Mesial,,3.4,Con tejido remanente,Estratificación,Bulk,2.85,108.74,13.33,0.97,Sobreobturado
II,1,Mesial,,2.07,Limpia,Estratificación,Compuesta,1.2,55.45,4.31,0.82,Sobreobturado
II,1,Mesial,,1.34,Limpia,Bulk,Compuesta,1.26,67.69,5.49,1.89,Subobturado
II,1,Mesial,,1.31,Con tejido remanente,Bulk,Fluida,3.71,112.06,7.12,0.66,Sobreobturado
II,1,Mesial,,3.52,Limpia,Bulk,Fluida,1.66,59.5,3.97,1.13,Subobturado
II,1,Mesial,,1.89,Con tejido remanente,Estratificación,Con fibra de vidrio,1.82,96.77,1.66,1.08,Subobturado
II,1,Mesial,,1.45,Limpia,Bulk,Compuesta,2.66,111.42,14.81,1.27,Equiobturado
II,1,Mesial,,4.6,Limpia,Bulk,Con fibra de vidrio,3.36,117.69,19.17,1.8,Equiobturado
II,1,Mesial,,1.42,Con tejido remanente,Estratificación,Compuesta,3.88,73.84,11.11,1.93,Subobturado
II,1,Mesial,,1.29,Con tejido remanente,Estratificación,Compuesta,2.48,111.82,9.59,1.39,Subobturado
II,1,Mesial,,3.03,Limpia,Bulk,Bulk,3.04,75.88,13.65,1.27,Sobreobturado
II,1,Mesial,,3.56,Limpia,Bulk,Fluida,4.18,61.08,5.96,1.21,Subobturado
II,1,Mesial,,2.48,Limpia,Estratificación,Bulk,1.2,103.61,6.9,0.86,Sobreobturado
II,1,Mesial,,2.45,Con tejido remanente,Estratificación,Fluida,2.33,109.86,18.37,0.88,Sobreobturado
II,1,Mesial,,1.22,Limpia,Bulk,Compuesta,4.44,78.49,15.25,0.65,Equiobturado
II,1,Mesial,,3.32,Limpia,Estratificación,Fluida,3.75,103.65,12.02,1.0,Subobturado
II,1,Mesial,,1.02,Con tejido remanente,Estratificación,Compuesta,2.37,102.07,5.41,0.7,Subobturado
II,1,Mesial,,2.5,Limpia,Bulk,Compuesta,2.9,86.66,1.4,1.04,Equiobturado
II,1,Mesial,,4.3,Con tejido remanente,Estratificación,Con fibra de vidrio,4.39,108.76,9.49,1.5,Sobreobturado
II,1,Distal,,4.86,Con tejido remanente,Estratificación,Con fibra de vidrio,3.9,106.56,8.07,1.01,Sobreobturado
II,1,Distal,,1.78,Con tejido remanente,Estratificación,Fluida,3.13,50.83,5.24,1.83,Subobturado
II,1,Distal,,1.93,Con tejido remanente,Bulk,Con fibra de vidrio,1.63,79.16,1.5,0.88,Sobreobturado
II,1,Distal,,4.17,Limpia,Estratificación,Compuesta,4.07,60.23,11.69,1.88,Subobturado
II,1,Distal,,3.71,Con tejido remanente,Estratificación,Compuesta,3.65,58.98,6.49,0.58,Sobreobturado
II,1,Distal,,1.96,Con tejido remanente,Bulk,Compuesta,4.27,105.73,4.18,0.5,Sobreobturado
II,1,Distal,,1.04,Con tejido remanente,Estratificación,Con fibra de vidrio,4.66,97.39,7.07,1.87,Equiobturado
